"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Purine metabolism","1/129",0.650949239688798,0.783475178184221,0,0,0.956424689440994,0.410615702890689,"ADA"
"Prion disease","2/273",0.651377619071765,0.783475178184221,0,0,0.902536900369004,0.386886652719231,"NCF2;COX6B2"
"Vascular smooth muscle contraction","1/133",0.662194255642817,0.783547911404164,0,0,0.927253905514775,0.382210655498509,"PLA2G4C"
"Oxidative phosphorylation","1/133",0.662194255642817,0.783547911404164,0,0,0.927253905514775,0.382210655498509,"COX6B2"
"Autophagy","1/137",0.673079164808928,0.783547911404164,0,0,0.899799050054805,0.356223539330548,"MRAS"
"Yersinia infection","1/137",0.673079164808928,0.783547911404164,0,0,0.899799050054805,0.356223539330548,"RPS6KA2"
"Fluid shear stress and atherosclerosis","1/139",0.678390175800721,0.783547911404164,0,0,0.886668467008732,0.34405633800936,"NCF2"
"Ubiquitin mediated proteolysis","1/140",0.681013435891449,0.783547911404164,0,0,0.880244872425041,0.338166527605983,"BIRC3"
"Apoptosis","1/142",0.686196329052137,0.783547911404164,0,0,0.86767102770803,0.326757532311276,"BIRC3"
"Spinocerebellar ataxia","1/143",0.688756303438288,0.783547911404164,0,0,0.861516927652874,0.321231892667024,"KCND3"
"Cell adhesion molecules","1/148",0.701248156736344,0.783547911404164,0,0,0.832002366163857,0.29527219070902,"CDH1"
"Retrograde endocannabinoid signaling","1/148",0.701248156736344,0.783547911404164,0,0,0.832002366163857,0.29527219070902,"MGLL"
"Gastric cancer","1/149",0.703686075910075,0.783547911404164,0,0,0.82633876112137,0.290394394534137,"CDH1"
"Spliceosome","1/150",0.70610422248631,0.783547911404164,0,0,0.820751177623077,0.28561519546734,"LSM7"
"Huntington disease","2/306",0.711891290443004,0.784905781770491,0,0,0.803207236842105,0.272953964443751,"COX6B2;PPARGC1A"
"MicroRNAs in cancer","2/310",0.718600097058081,0.78725615728656,0,0,0.792613636363636,0.261919389537448,"CYP24A1;TIMP3"
"Wnt signaling pathway","1/166",0.742231725582908,0.804008249100127,0,0,0.740560888386975,0.220756598938783,"PORCN"
"Tight junction","1/169",0.748496747538536,0.804008249100127,0,0,0.727225672877847,0.210668856477794,"PRKAB2"
"Human papillomavirus infection","2/331",0.751707396487006,0.804008249100127,0,0,0.741223404255319,0.211551186586288,"LAMB3;ITGA10"
"Protein processing in endoplasmic reticulum","1/171",0.752589116890236,0.804008249100127,0,0,0.718597004018999,0.204251038587712,"SEC24D"
"Herpes simplex virus 1 infection","3/498",0.771674382345803,0.81930860347826,0,0,0.737297503335239,0.191102058676453,"ZNF543;ZNF114;BIRC3"
"Pathogenic Escherichia coli infection","1/197",0.800137787863035,0.842351120495686,0,0,0.622448979591837,0.138788277655959,"SEC24D"
"Alzheimer disease","2/369",0.803171998612165,0.842351120495686,0,0,0.663181198910082,0.145360294853417,"CSF1;COX6B2"
"Epstein-Barr virus infection","1/202",0.808180803535089,0.84246726186688,0,0,0.606810667161089,0.129232151480224,"TNFAIP3"
"Human cytomegalovirus infection","1/225",0.841227163008252,0.871632964080839,0,0,0.543866459627329,0.0940310001517625,"IL10RA"
"Shigellosis","1/246",0.866427443534294,0.885125150763675,0,0,0.496716947648625,0.0712177403207576,"CSF2"
"Salmonella infection","1/249",0.86968692138989,0.885125150763675,0,0,0.490633139651373,0.0685031765791058,"BIRC3"
"Parkinson disease","1/249",0.86968692138989,0.885125150763675,0,0,0.490633139651373,0.0685031765791058,"COX6B2"
"Pathways of neurodegeneration","2/475",0.900306925693962,0.910898771878597,0,0,0.511760042283298,0.0537448069156645,"CSF1;COX6B2"
"Amyotrophic lateral sclerosis","1/364",0.949595732313004,0.955148923730039,0,0,0.333230669199049,0.0172343336178937,"COX6B2"
"Olfactory transduction","1/440",0.973176127813134,0.973176127813134,0,0,0.274466248815065,0.00746279163676053,"ANO2"
