"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"CDK8",2923.19869046204,-1.10844820862241,0.0895355396812728,-12.3799802019204,3.35425535531238e-35,5.73974987062299e-33
"PNMA2",1239.31093097448,2.51312990301044,0.203206537694064,12.3673673668613,3.92475264849987e-35,6.64282898742795e-33
"HSP90AB1",43196.7999771275,-0.788562887407456,0.063934736203334,-12.3338725430814,5.95161564441125e-35,9.97924638097031e-33
"P4HA1",1937.91459884638,1.19745330252571,0.0972282488337392,12.3158991022595,7.43815647966358e-35,1.23562930927448e-32
"PROSER2",947.213578195483,1.36034419423148,0.111383186262636,12.2131915945003,2.64313416818017e-34,4.35050184507527e-32
"NOC2L",4419.92929497757,-0.90548222738772,0.0743203095726035,-12.1835098991771,3.8054518146329e-34,6.20669190966626e-32
"PSTPIP1",315.459831926508,3.99354050863467,0.329087921804776,12.1351779996464,6.8760321448831e-34,1.11137741181394e-31
"MCM10",1159.80861960614,-1.28078955244852,0.106269039586396,-12.0523301747472,1.88543347249855e-33,3.02022874375862e-31
"KRT13",438.124654470414,2.65933235833338,0.221551556401542,12.0032212886539,3.41732060303369e-33,5.42567689725906e-31
"ALDH1A3",3256.58253997218,0.945716684514449,0.078841989972105,11.9950889728817,3.77011818821786e-33,5.93330617673829e-31
"JUN",2274.87286321544,1.68338688438026,0.140355309263883,11.9937528064244,3.83144798253461e-33,5.97739202214377e-31
"TRPV4",302.542335287174,2.23514051565175,0.186433655258543,11.9889325377014,4.06104716222527e-33,6.28096958081755e-31
"AJUBA",2074.43105564398,1.17227814519492,0.0977905393324713,11.9876437250169,4.12471769287619e-33,6.32491966905057e-31
"HID1",725.28169698583,1.88379079601111,0.157476582323082,11.9623550893827,5.59521790301162e-33,8.50710206762131e-31
"ITGA10",245.044177591414,4.10221742867532,0.343808311759639,11.9316994044729,8.09047789734169e-33,1.2197585206404e-30
"RASL10B",1339.55305714813,-1.50263658996716,0.12621379388576,-11.9054862682223,1.10815428762713e-32,1.6567830061932e-30
"CAPN8",138.481479348352,3.45539414266814,0.290252957451135,11.9047680788916,1.11773628520387e-32,1.65729807378864e-30
"SLC25A48",673.480584862517,1.50410075286045,0.12654678116629,11.8857290481689,1.40404613374279e-32,2.06475341684257e-30
"NOLC1",7060.8966725907,-1.33884879665294,0.112662195309204,-11.8837449685623,1.43778406902287e-32,2.09717755953978e-30
"MLKL",321.790222131611,-1.65751532952449,0.139756425320863,-11.8600295172049,1.90907813967538e-32,2.7621589438642e-30
"NT5E",1614.94563524233,1.57795629647573,0.13312515021223,11.8531794627847,2.07178107970321e-32,2.97358594807642e-30
"IGFL2-AS1",1480.37002954141,2.10743771735266,0.177961564217086,11.842094817631,2.36471672370358e-32,3.36709386825127e-30
"TCOF1",5596.18876665261,-1.12729000790777,0.0953087592371643,-11.8277692095713,2.80497489098498e-32,3.96252397788674e-30
"FAM110C",327.020543746344,1.93393541818491,0.163877126169067,11.801130904564,3.85100836748558e-32,5.39772977508272e-30
"MGLL",778.378322192355,2.47810026863458,0.210612442000769,11.7661627446755,5.83173008124859e-32,8.11062553392875e-30
"PDGFB",1821.08076235407,1.68164669302558,0.142977263513882,11.7616371421342,6.15295085413825e-32,8.49154548262265e-30
"ZNF114",143.864798852279,2.4458029246745,0.209874236490186,11.6536596657917,2.19811896847009e-31,3.0104162147574e-29
"BMP4",5286.72914270551,1.56301511954983,0.134628502059938,11.609838151909,3.67310185901332e-31,4.99235761004228e-29
"UNC13D",3588.27118505833,1.22326959966918,0.105420356238429,11.6037323655264,3.94489985275716e-31,5.32146227506137e-29
"CCL28",350.328398696051,2.03029608994314,0.175041602270155,11.5989345596233,4.17240305447456e-31,5.58634949256179e-29
"ANKZF1",1876.16700415137,1.30958681009378,0.113249814131394,11.563699420949,6.29376904883772e-31,8.36418596334796e-29
"SLC2A1",51932.0535017774,1.15002406931553,0.0997055744509128,11.5342003257973,8.87076468925853e-31,1.17022345066167e-28
"LIMS2",243.100325468325,2.96244715460809,0.25873694441399,11.4496488366503,2.36100015206257e-30,3.09187618453682e-28
"VAT1L",514.520599064512,-1.80668725847145,0.158203266362136,-11.4200376516617,3.32090044847489e-30,4.31741122797739e-28
"PPME1",15402.1927411214,1.521261804291,0.133502421928643,11.3950127818963,4.42765025385217e-30,5.71485418736416e-28
"MCAM",5717.59733519681,1.12875683510055,0.0990910124290823,11.3911121445891,4.630415096478e-30,5.93387694613655e-28
"JPH2",510.419713134885,1.79966959442979,0.159140401857581,11.3086907750828,1.18849658146469e-29,1.5122565367417e-27
"CYP3A5",265.100006734584,2.72317108306411,0.240908175748198,11.3037719645946,1.25700365731023e-29,1.58816215604245e-27
