"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MRAS",172.928151565006,-1.11466802003418,0.27036007980195,-4.12290165341984,3.74129460472818e-05,0.0032410163646344
"AQP1",28.7318917726565,-2.98020210462059,0.72454782054522,-4.11318897126486,3.90230689691738e-05,0.003358966586302
"SH2D5",441.619675576617,-0.910301339828344,0.221564055074354,-4.1085244604449,3.9819503648892e-05,0.00340582767285523
"PLK2",1539.43104117163,-0.561947525893235,0.136916149040567,-4.10431880995085,4.05507939792003e-05,0.00344656245179191
"JPH2",510.419713134885,-0.883542561057121,0.21558462470493,-4.09835609689895,4.16094799592963e-05,0.00351444070106206
"ASCL2",707.898303457577,1.27166501262033,0.310870388183933,4.09065984074341,4.30147634818553e-05,0.00355040977390777
"CADM1",2528.32885369767,-0.794038379757158,0.194128365689375,-4.0902748907272,4.30862219121558e-05,0.00355040977390777
"KIZ",4505.22294776875,0.519760482093922,0.126968553314563,4.09361584837643,4.24697729325111e-05,0.00355040977390777
"REPS2",390.478436365626,-1.02196325951661,0.249749328262782,-4.09195598893189,4.2774984638046e-05,0.00355040977390777
"GCFC2",491.827589919011,0.747267642673408,0.183300537845483,4.07673458821672,4.56725749677883e-05,0.00374072229160419
"H1-2",2632.56735214931,1.81713391610244,0.44769168869116,4.05889580263346,4.93053065884809e-05,0.00401392718817308
"ACHE",81.5231199759402,-1.55003128431581,0.382337406690767,-4.0540926866972,5.032925983172e-05,0.00407275219979559
"BHLHE40",5636.82251607018,-0.739961758989238,0.182772663876245,-4.04853627066608,5.15389479258309e-05,0.00414581751350999
"CDRT1",35.3270131152019,-2.5046229940146,0.619747364598564,-4.04136126603288,5.31418167121916e-05,0.0042244618296974
"GDF15",368.73894444387,-1.01098980381701,0.250101347216941,-4.04232050353596,5.29248238745792e-05,0.0042244618296974
"SDK2",55.0119064641942,-2.78950360321875,0.691306957681864,-4.0351157647432,5.45753827344832e-05,0.00431305100744916
"MCAM",5717.59733519681,-0.564221103673055,0.139992936626632,-4.03035408263389,5.56928936926982e-05,0.00437577770559955
"CHAC1",106.787303361396,-1.41456502627875,0.351157017968745,-4.02829775255882,5.61821620327188e-05,0.00438870368618591
"RAET1E",99.6207146084164,1.32250278258497,0.328430305956206,4.02673796723656,5.65559986651312e-05,0.00439251589632519
"SSR3",3201.15057852944,-0.686392011121365,0.170638252122397,-4.0224979017543,5.75841673710168e-05,0.00443819606676431
"CDK8",2923.19869046204,0.508514199035747,0.126445336211829,4.02161292990555,5.78009847380878e-05,0.00443819606676431
"CST1",1803.3359887969,1.37648170694872,0.343068038814869,4.01227031146296,6.01375816049316e-05,0.00459152134355393
"PSRC1",950.348144961361,0.920822889272271,0.229596254246366,4.01061808388298,6.05600028690319e-05,0.00459779707175336
"PRKAB2",574.933898271692,-1.1500360687578,0.287266802134519,-4.00337268425216,6.24458131545894e-05,0.00471448446352582
"XBP1",1099.23532374456,-0.638826231237117,0.159697118494259,-4.00023643044056,6.32792305030136e-05,0.00475086400565403
"CALM1",9151.8572590743,0.38412543444192,0.0961229810838878,3.99618728123599,6.43708167685501e-05,0.00480611722547064
"NMRAL2P",76.3369751912195,-1.64058726467696,0.411501761158085,-3.98682926668375,6.69621756625247e-05,0.00497212550496351
"SLC25A48",673.480584862517,-0.69502065240296,0.174496988509541,-3.98299511263462,6.80521555937923e-05,0.00502544716226508
