"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"RAPGEF5",186.464377249362,-1.73712868862132,0.222454040231244,-7.80893296797642,5.76741617642395e-15,8.8335742571401e-13
"EIF4B",11574.0507411372,-0.475726997929227,0.060974694668426,-7.80203985466726,6.09144013615054e-15,9.24100475511829e-13
"CPLX2",1162.65995788162,-0.938912842315736,0.120905341802918,-7.76568535612107,8.12049130872718e-15,1.22029534015769e-12
"MARCHF4",420.956947751698,1.48573839610961,0.192417328143951,7.72143761916338,1.15024893833679e-14,1.71236591951091e-12
"C6orf223",838.387795921057,-0.905683098053326,0.117580911688216,-7.70263714619672,1.33286441282862e-14,1.96585159555065e-12
"ARHGEF16",369.136683972922,-1.10286514266463,0.14335629466406,-7.69317556127597,1.43527356004828e-14,2.09747454477148e-12
"EHD2",673.374686683485,2.36676343407955,0.308539115442619,7.67086996630647,1.70833667734822e-14,2.45154008409728e-12
"GPR173",133.03927895928,2.56532164768138,0.334404496794742,7.6713132516755,1.70244208344266e-14,2.45154008409728e-12
"GMPS",4931.5837336231,-0.561991855992403,0.073287995607298,-7.6682661510317,1.7433685033684e-14,2.47947472233529e-12
"TIMP2",9459.42213284473,0.603820295158247,0.0789412165577419,7.64898644191251,2.02569594636662e-14,2.85551422386495e-12
"MAP6",359.617492527274,1.31155912095912,0.171581191068685,7.64395626810925,2.10646977270141e-14,2.94332956222463e-12
"SERPINI1",43.7655158164785,-2.80331431316059,0.36780378680335,-7.62176577224696,2.50228792308673e-14,3.4659951588564e-12
"MICAL1",529.35755178401,0.91233317044692,0.119999663743172,7.6027977244964,2.89796271553723e-14,3.97945242205108e-12
"UNC13D",3588.27118505833,0.801952663864687,0.105652279430791,7.59049088372978,3.18695810197933e-14,4.33889364157511e-12
"SRGAP1",236.834543656445,1.67722152984934,0.22132043059787,7.5782498945919,3.50247296857537e-14,4.72804168783365e-12
"CTSS",56.6812554726052,3.21593018796447,0.425728533330849,7.5539456160089,4.22266555518753e-14,5.65233946458674e-12
"CABYR",290.737934003138,1.25233019395301,0.166061774322062,7.54135139809014,4.65125892831598e-14,6.17415862242877e-12
"PPME1",15402.1927411214,1.00363932902904,0.133580448017515,7.51336998733114,5.76243689049988e-14,7.58593861394815e-12
"SAA2",1007.70358507721,1.37929560946506,0.183658005086894,7.5101306300941,5.90683913345944e-14,7.71229840630126e-12
"H2BC11",227.378072198143,-1.27917890933866,0.1708976741023,-7.48505745357855,7.15158439575054e-14,9.26159250730979e-12
"ACSS1",1789.43895689854,0.669341930577542,0.0897268726712507,7.45977108808793,8.667292863583e-14,1.11339764535495e-11
"MX1",391.156617861413,1.30771999126456,0.175742151748519,7.44112882568923,9.98285328655469e-14,1.27213496001224e-11
"ITM2C",1327.99043714176,0.975852465966231,0.131246495677612,7.43526492595486,1.04358596928252e-13,1.31930800830962e-11
"UBXN10",1466.77756278248,-0.836302970012785,0.112782127462908,-7.41520832090907,1.21433777856691e-13,1.52308554919625e-11
"LFNG",547.380051884117,1.24138689723106,0.167616182262668,7.40612797925266,1.30040345543028e-13,1.61829114387101e-11
"ACOX1",1245.70544863837,0.782326130936083,0.105947480418606,7.38409377783275,1.53495234895311e-13,1.89536867957163e-11
"OAF",795.893122512591,-0.776427606344693,0.105189112350464,-7.38125447582281,1.56804967342963e-13,1.92134332677389e-11
"SPTSSB",94.8031402068867,-1.75202485532231,0.237423765465414,-7.37931542736623,1.59105481220272e-13,1.93464977889901e-11
"SLC1A5",50875.7580326853,-0.64925234369908,0.0880279245596355,-7.37552710627907,1.63696088740078e-13,1.97539014965205e-11
"BMP4",5286.72914270551,0.993509287679358,0.134915118565989,7.36395815561186,1.78535679700222e-13,2.13826679845476e-11
"LYPD5",661.992192414839,1.68756075892294,0.229334445690754,7.35851412917942,1.85968576128451e-13,2.21066675309709e-11
"HPGD",2233.87764573138,0.847385998561041,0.115299938443561,7.34940547237007,1.99090391469811e-13,2.34911914497972e-11
"COL8A2",191.420322883614,1.90709270405457,0.259904061211292,7.33767950822507,2.17328811457909e-13,2.54546370420075e-11
"PKM",81969.4515456638,-0.605233925876404,0.0830669277923754,-7.28609979881737,3.19056670489398e-13,3.70967423666103e-11
"FZD2",719.748039576455,0.808782458306775,0.111049105634977,7.28310645711346,3.2621959411507e-13,3.76547240192678e-11
"TRIB1",5088.6134774625,-0.572316028428724,0.079059709717396,-7.23903528705714,4.51887457470412e-13,5.17850022305481e-11
"GABRA3",421.976759949789,1.54884566217682,0.213995004479635,7.23776550739163,4.5613719173258e-13,5.18986380507734e-11
"ESRP1",565.124516766236,-1.0513549426726,0.145450316842455,-7.22827536918592,4.89166099526472e-13,5.52618921940225e-11
"EDN3",408.480458223448,1.40171126466479,0.194211990785572,7.21742905262946,5.29796195623458e-13,5.943044788793e-11
"CXCL14",1081.07831136118,1.01937125470718,0.141442651893191,7.20695802194765,5.72156320347584e-13,6.37334127749417e-11
"CYP24A1",316.185968824331,1.53136775019887,0.212729477875832,7.19866266532517,6.08059761161752e-13,6.72623884412886e-11
"JAG2",2350.45213708496,-0.838426938884903,0.116515280727306,-7.1958539141932,6.20710592920991e-13,6.81882692044032e-11
"EIF5A2",4288.07172247038,-0.87141995443245,0.121398413407674,-7.17818239935385,7.06442731966305e-13,7.70748375170635e-11
"LOC105374985",177.520025376778,-1.31300706753157,0.183507496034056,-7.1550595801705,8.36365887495922e-13,9.0629062734167e-11
"IL24",158.138882968639,-1.9155298739217,0.268594439127649,-7.13168105841293,9.91504148982735e-13,1.06713983710446e-10
"CACNB4",123.507682869569,-1.71653909481975,0.241021243876347,-7.12194106715507,1.06417561575598e-12,1.13766801230718e-10
"HNRNPF",8821.11033419153,-0.441121151479131,0.0620554842205832,-7.10849584077237,1.17314433194215e-12,1.24580107090043e-10
