"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ANXA1",524.243065795131,-1.20781905821021,0.300414974573755,-4.02050217344834,5.80742134847927e-05,0.00524099141363168
"EIF5",9524.17838883633,-0.491848951367368,0.122373298150219,-4.01925059471389,5.83835478763481e-05,0.00524099141363168
"SLCO4A1",4167.84755713643,-0.92505454150366,0.230272981483861,-4.01720833917501,5.88916551868138e-05,0.00525456331915317
"AFAP1L1",461.071028232182,-0.878835239288724,0.21899725894641,-4.01299652569524,5.99527960778814e-05,0.00531499340325773
"ACHE",81.5231199759402,-1.53871425165436,0.383559620827573,-4.01166902901408,6.02909861665562e-05,0.00531499340325773
"INHBA",37.1807835322866,-3.07848091684724,0.767830874503025,-4.00932160853753,6.08934353827696e-05,0.00533614973634009
"AJUBA",2074.43105564398,-0.545516580779747,0.136291189125888,-4.00258141614621,6.26550963929528e-05,0.00545803745027841
"CSF2",46.6088515355827,-4.79263310466683,1.20247590054758,-3.98563755205768,6.72991762999294e-05,0.00582810866757389
"PKHD1",93.0102682134188,2.65979519977611,0.668077734486275,3.98126604506792,6.85491711704701e-05,0.00587150987962272
"GJB1",2335.99268873701,1.19615240073167,0.300458002489801,3.98109682824065,6.85979961482888e-05,0.00587150987962272
"RAET1E",99.6207146084164,1.35253471961258,0.339981749293135,3.97825684003531,6.94223585480829e-05,0.005907722326849
"CD24",363.664948326717,-1.24184906516757,0.3125063923721,-3.97383572137912,7.0724352277509e-05,0.00598393054154878
"SEMA3A",387.298025727894,1.30822014304355,0.33001077278318,3.96417405410901,7.36505024834655e-05,0.00617644385657751
"ALDH3A2",1544.03015184516,0.503075941864616,0.12692511522929,3.96356498046749,7.38387528024481e-05,0.00617644385657751
"CDA",756.385762576341,-1.02332539408535,0.259199224699135,-3.94802644673483,7.87981014355884e-05,0.00655404321658041
"CHAC1",106.787303361396,-1.38602973656627,0.351305182801718,-3.94537229855947,7.96760862344212e-05,0.00658983899743342
"TBC1D2",1161.62931509588,-0.668279805476702,0.169772418849665,-3.9363272904091,8.27381157169131e-05,0.00680486334963349
"LAMP3",206.1146703629,-1.03708251031322,0.264169722710109,-3.92581897605004,8.64351436052012e-05,0.00706943435642096
"LOC105374985",177.520025376778,1.15230066943775,0.2943304667961,3.91498944020639,9.04081646257951e-05,0.00735353038464617
"PLK3",277.260758886951,-0.798034823143645,0.204099909233831,-3.91002047055966,9.22882997274387e-05,0.00746521070652392
"CAV1",1405.58385311595,-0.65396690632112,0.167343567510281,-3.90792975225022,9.30903620317318e-05,0.0074889415837768
"PFKM",2876.94337351351,0.604184121180782,0.154735816058533,3.90461715051306,9.43746676678523e-05,0.00751625073520282
"MYH7B",12722.2384639537,0.827137772458132,0.211846416593748,3.90442182481807,9.44509160448663e-05,0.00751625073520282
"TIMP3",3772.78983020156,-0.714328166536223,0.183459243873667,-3.89366134653929,9.87424739069193e-05,0.00781551989708422
"ARHGEF3",2427.12818174113,0.868607874893774,0.22427960091446,3.87287952784016,0.000107557000725236,0.00846766932982309
"MOB3A",1503.74547995927,-0.659880671970295,0.170580180180081,-3.86844867483233,0.000109529984866776,0.00857712998515255
"FGF3",771.677534733199,1.25418737384075,0.32487628254551,3.86050764929279,0.000113151698283926,0.00881385874146014
"SLC20A1",10610.6755298093,-0.393096058256012,0.101903435941013,-3.85753487726908,0.000114536339900178,0.0088548687823865
"FOSL1",2763.95584095574,-0.695488522003332,0.18032787253601,-3.85679990687212,0.000114881126031505,0.0088548687823865
"LRP4",236.412817585937,1.19020777590474,0.308786983098488,3.85446227027363,0.00011598426746274,0.00889333534159617
"RBCK1",2892.82804900433,-0.819557188884996,0.212939625763201,-3.84877725762692,0.000118708886200891,0.00905508923652601
"LIMS2",243.100325468325,-1.29830846304054,0.338115916282417,-3.83983243769012,0.000123118312394384,0.00934302987149545
"SMO",235.763525775505,0.898314869631623,0.234329543435371,3.83355362052067,0.000126305252933056,0.00952077547361035
"PMAIP1",1288.45623117605,-0.653155669076507,0.170417410014993,-3.83268158469867,0.000126753973157698,0.00952077547361035
"TRIB1",5088.6134774625,-0.428274506969626,0.111891021758745,-3.82760386166689,0.00012939678888203,0.0096699468320875
"SDC4",4951.62045946705,-0.791331233058775,0.207002665467249,-3.82280697339125,0.00013194106502123,0.00981028464263912
"TNFAIP3",78.4022720398628,-2.01260261954475,0.527307167694489,-3.81675566509807,0.000135217954014034,0.0100034106482141
"CRIP2",140.45722206509,-1.79140638372509,0.470153070771416,-3.81026200846841,0.000138819591840779,0.0102185101553998
"CST1",1803.3359887969,1.30883778076923,0.343703527586842,3.80804290825481,0.00014007097225993,0.0102593276299039
"GNAI1",693.621866692415,0.730726470815146,0.192274391349305,3.80043575063324,0.000144441866277502,0.0105270948284029
"NTSR1",1019.15635269276,0.648496916414993,0.170896264401014,3.79468163735441,0.000147833024009287,0.0107211713274124
"ORC1",910.222997558323,0.532077482769921,0.140430273083355,3.78890869530743,0.000151310508025543,0.0109195749958434
"FOXQ1",3273.86534767253,-0.49965525791226,0.131991299248332,-3.78551662691186,0.000153389577310718,0.0110156163764312
"SDK1-AS1",88.3790895967984,1.59550459961584,0.423344574254281,3.76880842851549,0.000164028714387591,0.0117224792874472
"FICD",231.838956282041,-0.902536271330004,0.24020358202038,-3.75738056751139,0.000171701270038767,0.0121528177764939
"ZFP36",422.647797313729,-0.972125555869407,0.258679721957706,-3.75802768192379,0.000171257938836815,0.0121528177764939
"SLC18B1",289.825479781747,0.88665826280869,0.236261884151242,3.75286206657482,0.000174827060835324,0.0122847674630158
"PDCD4",985.474726627659,0.525874296059253,0.14014798017014,3.75227880859103,0.000175234422444866,0.0122847674630158
"TAF1D",1761.02024198933,-0.869344508009425,0.231870834116435,-3.74926200322754,0.000177355720110608,0.0123745540827885
"TMEM45B",4005.73371960515,0.510920690885468,0.136360539316644,3.74683683011148,0.000179078489005165,0.0124358184676134
"BCL6",186.730327219728,-1.25483913715331,0.335509933411565,-3.74009533605677,0.000183950471716957,0.0127141729794227
"PTPRN2",2876.56044793997,0.650672425007073,0.174161538893525,3.73602822495079,0.000186949693579057,0.0128610906022003
"SNORD139",29.4094157736329,-2.16375107973283,0.579550089715965,-3.73350141450806,0.000188836132823605,0.012930444406647
"KCND3",372.530217106603,-1.08364421576453,0.290887783148647,-3.72529985286724,0.00019508318775493,0.013272156935062
"MELTF",530.187817078269,-0.934811899211416,0.250983546504158,-3.72459434983691,0.000195629537760389,0.013272156935062
"CACNA1S",56.6338723433129,1.67656240764986,0.450513529907277,3.7214474069068,0.000198084124679441,0.0133419340000313
"TFR2",124.265657906804,1.2675542223899,0.340652900867993,3.72095531598333,0.000198470557397558,0.0133419340000313
"TRIB2",4099.28335669015,-0.680079530946099,0.18292571726463,-3.7177907027816,0.000200972662271326,0.0133878711943822
