"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"toll-like receptor signaling pathway (GO:0002224)","1/91",0.489742339730689,0.531144776676696,0,0,1.50403348554033,1.07369320316689,"BIRC3"
"positive regulation of supramolecular fiber organization (GO:1902905)","1/91",0.489742339730689,0.531144776676696,0,0,1.50403348554033,1.07369320316689,"CCR7"
"cellular response to fibroblast growth factor stimulus (GO:0044344)","1/92",0.493509867121966,0.533605201808413,0,0,1.48743037784134,1.05044181585021,"FGF3"
"regulation of peptidyl-tyrosine phosphorylation (GO:0050730)","1/92",0.493509867121966,0.533605201808413,0,0,1.48743037784134,1.05044181585021,"IL11"
"positive regulation of cellular component biogenesis (GO:0044089)","1/92",0.493509867121966,0.533605201808413,0,0,1.48743037784134,1.05044181585021,"HAS3"
"T cell activation (GO:0042110)","1/92",0.493509867121966,0.533605201808413,0,0,1.48743037784134,1.05044181585021,"CCR7"
"regulation of epithelial cell proliferation (GO:0050678)","1/93",0.497249764459786,0.536427018629345,0,0,1.47118820726623,1.0278645236099,"PKHD1"
"positive regulation of peptidyl-serine phosphorylation (GO:0033138)","1/93",0.497249764459786,0.536427018629345,0,0,1.47118820726623,1.0278645236099,"IL11"
"visual perception (GO:0007601)","1/93",0.497249764459786,0.536427018629345,0,0,1.47118820726623,1.0278645236099,"RGS16"
"negative regulation of cell death (GO:0060548)","1/94",0.500962233012394,0.539450995902876,0,0,1.45529533068199,1.00593588036552,"CCN1"
"negative regulation of cellular protein metabolic process (GO:0032269)","1/94",0.500962233012394,0.539450995902876,0,0,1.45529533068199,1.00593588036552,"SERPINE2"
"cilium organization (GO:0044782)","2/228",0.501189373300214,0.539450995902876,0,0,1.19786389990845,0.827449953889304,"PKHD1;EHD2"
"sensory perception of light stimulus (GO:0050953)","1/95",0.504647472539326,0.542762840555892,0,0,1.43974060040804,0.984631639293698,"RGS16"
"positive regulation of transcription, DNA-templated (GO:0045893)","9/1183",0.506747246516224,0.544609870972908,0,0,1.03764535960299,0.705332094213548,"IL11;PAX8;TFR2;DDIT3;HAS3;HOXD13;INHBA;CCN1;ATF3"
"regulation of vesicle-mediated transport (GO:0060627)","1/96",0.508305681396264,0.545872767954962,0,0,1.42451333813987,0.96392868462255,"SYT1"
"protein maturation (GO:0051604)","1/97",0.511937056462315,0.548944554519831,0,0,1.40960331050228,0.943804968436238,"F3"
"glycosaminoglycan biosynthetic process (GO:0006024)","1/97",0.511937056462315,0.548944554519831,0,0,1.40960331050228,0.943804968436238,"HAS3"
"regulation of neuron apoptotic process (GO:0043523)","1/98",0.515541793351356,0.552393915524703,0,0,1.39500070611496,0.92423945083916,"DDIT3"
"organic anion transport (GO:0015711)","1/99",0.519120085995451,0.555392188172443,0,0,1.38069611406206,0.905212045689293,"AQP1"
"response to UV (GO:0009411)","1/99",0.519120085995451,0.555392188172443,0,0,1.38069611406206,0.905212045689293,"AQP1"
"positive regulation of nucleic acid-templated transcription (GO:1903508)","4/511",0.520024130404389,0.555941712984872,0,0,1.06735079516145,0.697919406100655,"PAX8;DDIT3;HAS3;INHBA"
"cell-matrix adhesion (GO:0007160)","1/100",0.522672127159014,0.55793486437364,0,0,1.3666805036668,0.886703567337748,"ITGA10"
"organic acid transport (GO:0015849)","1/100",0.522672127159014,0.55793486437364,0,0,1.3666805036668,0.886703567337748,"SLC6A12"
"epithelial cell differentiation (GO:0030855)","1/101",0.526198108129321,0.561277982004609,0,0,1.35294520547945,0.868695682920463,"ANXA1"
"protein O-linked glycosylation (GO:0006493)","1/102",0.529698218759658,0.562903181726681,0,0,1.33948189339482,0.851170866730301,"MUC13"
"regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032434)","1/102",0.529698218759658,0.562903181726681,0,0,1.33948189339482,0.851170866730301,"TRIB3"
"regulation of protein catabolic process (GO:0042176)","1/102",0.529698218759658,0.562903181726681,0,0,1.33948189339482,0.851170866730301,"TNFAIP3"
"positive regulation of cell growth (GO:0030307)","1/102",0.529698218759658,0.562903181726681,0,0,1.33948189339482,0.851170866730301,"SYT1"
"positive regulation of cellular protein metabolic process (GO:0032270)","1/102",0.529698218759658,0.562903181726681,0,0,1.33948189339482,0.851170866730301,"INHBA"
"membrane organization (GO:0061024)","2/242",0.533073377209781,0.56606747885662,0,0,1.12718390804598,0.709107108722351,"SYT1;DYSF"
"regulation of insulin secretion (GO:0050796)","1/104",0.536621581692847,0.568986695704105,0,0,1.31333953983242,0.81750411748616,"CACNA1E"
"steroid metabolic process (GO:0008202)","1/104",0.536621581692847,0.568986695704105,0,0,1.31333953983242,0.81750411748616,"CYP26B1"
"activation of GTPase activity (GO:0090630)","1/105",0.540045207003826,0.572190755039768,0,0,1.30064541622761,0.801330796634116,"CCR7"
"positive regulation of DNA-binding transcription factor activity (GO:0051091)","2/246",0.541926649765619,0.573757285699808,0,0,1.10847936687394,0.679081750062689,"DDIT3;RIPK4"
"protein processing (GO:0016485)","1/106",0.543443707942384,0.574082967440619,0,0,1.28819308545336,0.785577695662209,"F3"
"cellular response to peptide hormone stimulus (GO:0071375)","1/106",0.543443707942384,0.574082967440619,0,0,1.28819308545336,0.785577695662209,"TRIB3"
"positive regulation of protein serine/threonine kinase activity (GO:0071902)","1/106",0.543443707942384,0.574082967440619,0,0,1.28819308545336,0.785577695662209,"CD24"
"response to calcium ion (GO:0051592)","1/107",0.546817267632796,0.577218524172796,0,0,1.27597570431636,0.770230733614393,"SYT1"
"regulation of interleukin-6 production (GO:0032675)","1/110",0.55679011039141,0.586810772543155,0,0,1.24066859369109,0.726494501576587,"TNFAIP3"
"response to tumor necrosis factor (GO:0034612)","1/110",0.55679011039141,0.586810772543155,0,0,1.24066859369109,0.726494501576587,"CHI3L1"
"positive regulation of phosphorylation (GO:0042327)","2/253",0.557140564942658,0.586810772543155,0,0,1.07718093144663,0.630083747440034,"CCN1;FGF3"
"regulation of protein serine/threonine kinase activity (GO:0071900)","1/111",0.560065709829247,0.589455706427825,0,0,1.22932752179328,0.712642594283028,"TRIB3"
"regulation of cytoskeleton organization (GO:0051493)","1/112",0.563317263989643,0.592440017667099,0,0,1.21819079353326,0.69913466261618,"SIGLEC15"
"sulfur compound biosynthetic process (GO:0044272)","1/113",0.566544948009597,0.595394838351045,0,0,1.20725293542074,0.685959739595504,"CHAC1"
"activation of protein kinase activity (GO:0032147)","1/114",0.569748936027125,0.598320416594857,0,0,1.1965086677173,0.673107291887946,"CHI3L1"
"cellular response to lectin (GO:1990858)","1/115",0.57292940085509,0.600332205163833,0,0,1.18595289593848,0.660567199906727,"MUC13"
"cellular response to molecule of bacterial origin (GO:0071219)","1/115",0.57292940085509,0.600332205163833,0,0,1.18595289593848,0.660567199906727,"TNFAIP3"
"stimulatory C-type lectin receptor signaling pathway (GO:0002223)","1/115",0.57292940085509,0.600332205163833,0,0,1.18595289593848,0.660567199906727,"MUC13"
"negative regulation of cellular macromolecule biosynthetic process (GO:2000113)","4/547",0.573988894036242,0.600662718801359,0,0,0.99473270743989,0.55222111887249,"CSF2;BCL6;DDIT3;TRIB3"
