"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"cellular macromolecule biosynthetic process (GO:0034645)","2/314",0.725177954958935,0.743729018923001,0,0,0.782291666666667,0.251380195361752,"PCLAF;INHBA"
"cilium assembly (GO:0060271)","2/314",0.725177954958935,0.743729018923001,0,0,0.782291666666667,0.251380195361752,"PKHD1;EHD2"
"regulation of cellular macromolecule biosynthetic process (GO:2000112)","3/468",0.734221805534888,0.752420951760384,0,0,0.786082369649016,0.242855517008677,"HOXD13;PPARGC1A;ZNF114"
"negative regulation of gene expression (GO:0010629)","2/322",0.737946664206879,0.755652814818654,0,0,0.762421875,0.231687601466998,"ZFP36;KLF4"
"adenylate cyclase-modulating G protein-coupled receptor signaling pathway (GO:0007188)","1/165",0.740109109754906,0.757281014853628,0,0,0.745114376609605,0.224247877755035,"ABCA1"
"neutrophil degranulation (GO:0043312)","3/481",0.751007600751021,0.767838528434003,0,0,0.764190416041683,0.21881790654713,"ARHGAP9;LCN2;CD55"
"nuclear-transcribed mRNA catabolic process (GO:0000956)","1/171",0.752589116890236,0.768268056825449,0,0,0.718597004018999,0.204251038587712,"ZFP36"
"positive regulation of I-kappaB kinase/NF-kappaB signaling (GO:0043123)","1/171",0.752589116890236,0.768268056825449,0,0,0.718597004018999,0.204251038587712,"BIRC3"
"neutrophil activation involved in immune response (GO:0002283)","3/485",0.755999952970702,0.77115492504259,0,0,0.757692006576372,0.211937035416369,"ARHGAP9;LCN2;CD55"
"neutrophil mediated immunity (GO:0002446)","3/488",0.759691554952241,0.774323518645466,0,0,0.752888543085003,0.206925977823246,"ARHGAP9;LCN2;CD55"
"mitochondrion organization (GO:0007005)","1/175",0.760576362493782,0.774628581662259,0,0,0.701934746912258,0.192104632131155,"PPARGC1A"
"regulation of translation (GO:0006417)","1/178",0.766398137421881,0.77995748908396,0,0,0.689932273572657,0.183558884158341,"NIBAN1"
"protein stabilization (GO:0050821)","1/179",0.76830729169349,0.78069934478532,0,0,0.686021355293461,0.180811565956003,"PPARGC1A"
"RNA processing (GO:0006396)","1/179",0.76830729169349,0.78069934478532,0,0,0.686021355293461,0.180811565956003,"PPARGC1A"
"protein phosphorylation (GO:0006468)","3/496",0.769317222726735,0.78112562215462,0,0,0.740365111561866,0.194162143310057,"RPS6KA2;ADM2;SGK1"
"post-translational protein modification (GO:0043687)","2/345",0.771883012004325,0.783129773682302,0,0,0.710459183673469,0.183953711182824,"CSF1;FBXO32"
"cellular response to DNA damage stimulus (GO:0006974)","2/350",0.778737109024767,0.789478310528557,0,0,0.70007183908046,0.175075199349559,"BCL6;PCLAF"
"antigen receptor-mediated signaling pathway (GO:0050851)","1/185",0.779440905950601,0.78958676766665,0,0,0.663448555225493,0.165317051832702,"SKAP1"
"negative regulation of macromolecule metabolic process (GO:0010605)","1/194",0.795152014907916,0.804886087010844,0,0,0.632220899172915,0.1449189192794,"KLF4"
"regulation of macromolecule metabolic process (GO:0060255)","1/200",0.805002942247862,0.814234627365384,0,0,0.612971690751896,0.132959288927721,"CDH1"
"proteasomal protein catabolic process (GO:0010498)","1/205",0.812851338105758,0.82154493530475,0,0,0.597795639995129,0.123867466351434,"NR1D1"
"mitotic cell cycle phase transition (GO:0044772)","1/209",0.818903353583728,0.827029875413185,0,0,0.586180124223602,0.117112462461814,"INHBA"
"positive regulation of GTPase activity (GO:0043547)","1/214",0.826195529367192,0.833122473592069,0,0,0.572274225060508,0.109260778338994,"RGS16"
"positive regulation of protein modification process (GO:0031401)","1/214",0.826195529367192,0.833122473592069,0,0,0.572274225060508,0.109260778338994,"NIBAN1"
"positive regulation of cell motility (GO:2000147)","1/221",0.835916807535239,0.841642265121097,0,0,0.553867871259176,0.0992676246552712,"CSF1"
"transcription, DNA-templated (GO:0006351)","1/221",0.835916807535239,0.841642265121097,0,0,0.553867871259176,0.0992676246552712,"GLIS3"
"phosphorylation (GO:0016310)","2/400",0.837947034588988,0.843044811225271,0,0,0.610552763819096,0.107945963733684,"ADM2;SGK1"
"positive regulation of DNA-binding transcription factor activity (GO:0051091)","1/246",0.866427443534294,0.871036100148838,0,0,0.496716947648625,0.0712177403207576,"PPARGC1A"
"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)","1/251",0.871815865249938,0.875787691515314,0,0,0.486658385093168,0.0667583572816866,"LSM7"
"positive regulation of phosphorylation (GO:0042327)","1/253",0.873910238787553,0.877225528009054,0,0,0.482746721877157,0.0650634495146193,"NIBAN1"
"positive regulation of cell migration (GO:0030335)","1/269",0.889485805939901,0.892183260999613,0,0,0.453555205339761,0.0531166344532616,"CSF1"
"mRNA splicing, via spliceosome (GO:0000398)","1/274",0.893949131621574,0.895980834193441,0,0,0.445134575569358,0.0499024370882409,"LSM7"
"proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)","1/321",0.928055761914586,0.929460842553367,0,0,0.378843167701863,0.028285741596124,"DNAJB9"
"ubiquitin-dependent protein catabolic process (GO:0006511)","1/354",0.945243672427767,0.945958682769997,0,0,0.342846585610473,0.0193065587425718,"TNFAIP3"
"cellular protein metabolic process (GO:0044267)","1/417",0.967525878042994,0.967525878042994,0,0,0.289984472049689,0.00957328843445988,"CSF1"
